QUESTIONBANKCODE|QUESTIONCODE|QUESTIONTYPE|QUESTIONTEXT|QUESTIONTEXTFORMAT|QUESTIONFEEDBACK|OPTION|RIGHTOPTION|OPTIONFEEDBACK|ISCORRECT|OPTIONWEIGHT|ISCASESENSITIVE|RANDOMIZEOPTIONS|STATUS
APIMGMTDEV|APIMGMTDEV0401|5|3scale API Management allows for management of SOAP APIs without customisation.|||TRUE|||0|0|||
APIMGMTDEV|APIMGMTDEV0401|5|3scale API Management allows for management of SOAP APIs without customisation.|||FALSE|||1|100|||
APIMGMTDEV|APIMGMTDEV0402|1|Which of the following is NOT a HTTP verb used in REST APIs?|||GET|||0|0|||
APIMGMTDEV|APIMGMTDEV0402|1|Which of the following is NOT a HTTP verb used in REST APIs?|||POST|||0|0|||
APIMGMTDEV|APIMGMTDEV0402|1|Which of the following is NOT a HTTP verb used in REST APIs?|||DELETE||0|0|||
APIMGMTDEV|APIMGMTDEV0402|1|Which of the following is NOT a HTTP verb used in REST APIs?|||HEAD|||1|100|||
APIMGMTDEV|APIMGMTDEV0403|5|REST APIs are Stateful.|||TRUE|||0|0|||
APIMGMTDEV|APIMGMTDEV0403|5|REST APIs are Stateful.|||FALSE|||1|100|||
APIMGMTDEV|APIMGMTDEV0404|1|Which of the following are Integration usecases that are best handled in an Enterprise Integration Platform (e.g JBoss Fuse) instead of 3scale API Management?|||data enrichment|||0|0|||
APIMGMTDEV|APIMGMTDEV0404|1|Which of the following are Integration usecases that are best handled in an Enterprise Integration Platform (e.g JBoss Fuse) instead of 3scale API Management?|||content based routing|||0|0|||
APIMGMTDEV|APIMGMTDEV0404|1|Which of the following are Integration usecases that are best handled in an Enterprise Integration Platform (e.g JBoss Fuse) instead of 3scale API Management?|||data transformation|||0|0|||
APIMGMTDEV|APIMGMTDEV0404|1|Which of the following are Integration usecases that are best handled in an Enterprise Integration Platform (e.g JBoss Fuse) instead of 3scale API Management?|||all of the above|||1|100|||
APIMGMTDEV|APIMGMTDEV0405|5|LAB: The Stock API service hosted in JBoss Data Virtualization is a REST API.|||TRUE|||1|100|||
APIMGMTDEV|APIMGMTDEV0405|5|LAB: The Stock API service hosted in JBoss Data Virtualization is a REST API.|||FALSE|||0|0||| 
APIMGMTDEV|APIMGMTDEV0406|5|Code plugins can be used for Traffic Management of APIs using non-HTTP protocols on 3scale.|||TRUE|||1|100|||
APIMGMTDEV|APIMGMTDEV0406|5|Code plugins can be used for Traffic Management of APIs using non-HTTP protocols on 3scale.|||FALSE|||0|0|||
APIMGMTDEV|APIMGMTDEV0407|5|LAB: The Private Base URL for Stores API is the REST endpoint exposed by Fuse camel route.|||TRUE|||1|100|||
APIMGMTDEV|APIMGMTDEV0407|5|LAB: The Private Base URL for Stores API is the REST endpoint exposed by Fuse camel route.|||FALSE|||0|0||| 
